# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	166
#@/user_id	e32dbddb-bfb3-404f-91c2-17c188eae791
ban4 jiao3 	半角	c=1 d=0.603506 t=166
ben3 	本	c=1 d=0.843665 t=166
bi3 hua4 	筆畫	c=2 d=1.7962 t=166
bi3 jiao4 	比較	c=1 d=0.618783 t=166
biao1 dian3 	標點	c=2 d=1.20418 t=166
biao1 dian3 fu2 hao4 	標點符號	c=1 d=0.752014 t=166
bu4 	不	c=0 d=0.056836 t=166
bu4 pai2 chu2 	不排除	c=1 d=0.571209 t=166
can1 jian4 	參見	c=1 d=0.625002 t=166
can1 yue4 	參閱	c=1 d=0.543351 t=166
cang1 jie2 shu1 ru4 fa3 	倉頡輸入法	c=1 d=0.814647 t=166
chang2 	長	c=1 d=0.440432 t=166
chen2 shu4 	陳述	c=1 d=0.524663 t=166
ci2 ku4 	詞庫	c=2 d=1.42711 t=166
ci2 pin2 	詞頻	c=1 d=0.748264 t=166
ci2 zu3 	詞組	c=1 d=0.729789 t=166
da4 qian1 	大千	c=3 d=2.51392 t=166
da4 qian1 zhu4 yin1 	大千注音	c=1 d=0.511709 t=166
dai4 	帶	c=1 d=0.946485 t=166
dao4 	到	c=1 d=0.451581 t=166
de5 	的	c=5 d=3.52932 t=166
dong4 tai4 	動態	c=1 d=0.740818 t=166
du2 te4 	獨特	c=1 d=0.771052 t=166
e2 wai4 	額外	c=1 d=0.70822 t=166
fan1 yi4 	翻譯	c=1 d=0.447088 t=166
fan3 cha2 	反查	c=1 d=0.895834 t=166
fang1 an4 	方案	c=6 d=3.79008 t=166
fen1 tiao2 	分條	c=1 d=0.522046 t=166
gai1 	該	c=2 d=1.34503 t=166
ge4 	個	c=1 d=0.694197 t=166
ge4 xiang4 	各項	c=1 d=0.527292 t=166
gen1 ju4 	根據	c=1 d=0.442639 t=166
gong1 neng2 	功能	c=1 d=0.865022 t=166
gui1 ze2 	規則	c=1 d=0.913931 t=166
he2 	和	c=1 d=0.737123 t=166
heng2 	橫	c=1 d=0.923116 t=166
hou4 	後	c=0 d=0.0694197 t=166
hou4 xuan3 	候選	c=1 d=0.718924 t=166
hou4 xuan3 xiang4 	後選項	c=1 d=0.697676 t=166
huan4 qi3 	喚起	c=1 d=0.640824 t=166
hun4 	混	c=1 d=0.822835 t=166
hun4 he2 	混合	c=1 d=0.794534 t=166
ji1 yu2 	基於	c=6 d=4.05325 t=166
jian3 jie2 	簡潔	c=1 d=0.621885 t=166
jiang1 	將	c=1 d=0.856415 t=166
jun1 	均	c=1 d=0.67368 t=166
jun1 bu4 	均不	c=0 d=0.0786628 t=166
jun1 bu4 yun3 xu3 	均不允許	c=1 d=0.790571 t=166
ka1 shi2 	喀什	c=1 d=0.449329 t=166
ke3 yi3 	可以	c=3 d=1.96102 t=166
ke3 yi3 yong4 	可以用	c=1 d=0.650509 t=166
kuai4 jie2 jian4 	快捷鍵	c=1 d=0.65377 t=166
li4 wai4 	例外	c=1 d=0.574072 t=166
ling4 	另	c=1 d=0.774916 t=166
mei3 ye4 	每頁	c=1 d=0.690734 t=166
mo2 shi4 	模式	c=2 d=1.26059 t=166
mo4 ren4 	默認	c=4 d=2.42829 t=166
na4 	捺	c=1 d=0.937067 t=166
pai2 chu2 	排除	c=0 d=0.056836 t=166
pei4 zhi4 	配置	c=4 d=2.62215 t=166
pei4 zhi4 fang1 an4 	配置方案	c=1 d=0.763379 t=166
pie3 	撇	c=1 d=0.932394 t=166
